feature,class,mean_gradient,std_gradient,median_gradient,p25_gradient,p75_gradient
pfcand_charge,recojet_isUDSG,0.00015834792,0.00012573661,0.00011990804,6.446008774219081e-05,0.0002337570949748624
pfcand_dxy,recojet_isUDSG,0.0019806977,0.002528815,0.0011445456,0.0004791904430021532,0.0023499587550759315
pfcand_dz,recojet_isUDSG,0.0019927134,0.0033812372,0.0009855996,0.00039352440944639966,0.0023651160299777985
pfcand_btagSip2dVal,recojet_isUDSG,0.00071928685,0.0008842565,0.00045310362,0.00022740731219528243,0.0009131497354246676
pfcand_btagSip2dSig,recojet_isUDSG,0.0018287555,0.0018291948,0.0012424735,0.0008047733717830852,0.0021592186531051993
pfcand_btagSip3dVal,recojet_isUDSG,0.00057760713,0.00074333727,0.00036748152,0.00018163825734518468,0.0006914833356859162
pfcand_btagSip3dSig,recojet_isUDSG,0.0014780988,0.0016995608,0.0008294075,0.0003959860259783454,0.001777633762685582
pfcand_btagJetDistVal,recojet_isUDSG,0.0009771333,0.0012395106,0.00057552115,0.0002683822822291404,0.0011343913793098181
pfcand_btagJetDistSig,recojet_isUDSG,0.0001542189,0.00018153936,9.550575e-05,5.0859153816418257e-05,0.00019315794997964986
pfcand_isChargedHad,recojet_isUDSG,0.0078201955,0.008930493,0.005265127,0.0027062592562288046,0.009694610722362995
pfcand_isNeutralHad,recojet_isUDSG,0.005084795,0.004514034,0.0036373967,0.0022358134156093,0.0064825526205822825
pfcand_isGamma,recojet_isUDSG,0.00423077,0.003929649,0.0029957518,0.0017924792191479355,0.005359835107810795
pfcand_isEl,recojet_isUDSG,0.007052151,0.008645936,0.0046578986,0.002189318591263145,0.008775982074439526
pfcand_isMu,recojet_isUDSG,0.007184297,0.008851601,0.0045427913,0.0024205552763305604,0.00884859124198556
pfcand_thetarel,recojet_isUDSG,0.005486046,0.005272948,0.003788164,0.002204547286964953,0.007094153086654842
pfcand_phirel,recojet_isUDSG,0.0008028635,0.0009377403,0.00048245135,0.00024685481912456453,0.0010858330351766199
