feature,class,importance_mean,importance_std
pfcand_pt_log,recojet_isB,0.04761844758064524,0.004649448811457042
pfcand_e_log,recojet_isB,0.1060987903225807,0.007082904507626542
pfcand_ptrel_log,recojet_isB,0.00890456989247319,0.0019246474368309816
pfcand_erel_log,recojet_isB,0.052386802755376397,0.008386806891106489
pfcand_drrel,recojet_isB,0.012902175739247434,0.0031727283169230716
pfcand_charge,recojet_isB,-0.0005974882392472791,0.0003590615711811164
pfcand_dxy,recojet_isB,0.05876123571908613,0.008714160398464588
pfcand_dz,recojet_isB,0.03310756888440865,0.0030290414835776776
pfcand_btagSip2dVal,recojet_isB,0.02529086861559151,0.0023455478798368188
pfcand_btagSip2dSig,recojet_isB,0.052116935483870995,0.005744229072669853
pfcand_btagSip3dVal,recojet_isB,0.021435021841397915,0.0035103616284206567
pfcand_btagSip3dSig,recojet_isB,0.025968161962365642,0.00398052901890478
pfcand_btagJetDistVal,recojet_isB,0.04229775705645171,0.002725470415866638
pfcand_btagJetDistSig,recojet_isB,0.002929687500000067,0.001106817656971448
pfcand_isChargedHad,recojet_isB,0.07510815692204306,0.004479469771740672
pfcand_isNeutralHad,recojet_isB,0.017427965389785017,0.00292542504061194
pfcand_isGamma,recojet_isB,0.019325436827957045,0.003138312367696474
pfcand_isEl,recojet_isB,0.011314474126344166,0.0007728380485073792
pfcand_isMu,recojet_isB,0.007418724798387122,0.0005009051706051637
pfcand_thetarel,recojet_isB,0.03492523521505382,0.004211778846843191
pfcand_phirel,recojet_isB,0.013384156586021568,0.0015984023509319318
pfcand_pt_log,recojet_isC,0.020635331916878295,0.007417373942221178
pfcand_e_log,recojet_isC,0.0902760606756046,0.010837472665686841
pfcand_ptrel_log,recojet_isC,0.01571820934416155,0.006147611742184074
pfcand_erel_log,recojet_isC,0.06115680453660448,0.014414026649915597
pfcand_drrel,recojet_isC,0.03259870150060333,0.004772988527810663
pfcand_charge,recojet_isC,0.0001051236683717871,0.0005484554687118137
pfcand_dxy,recojet_isC,0.04956210809970463,0.004635473024436683
pfcand_dz,recojet_isC,0.043188060320257037,0.004952216670820536
pfcand_btagSip2dVal,recojet_isC,0.02303837013895571,0.010298493504671748
pfcand_btagSip2dSig,recojet_isC,0.0677736731838405,0.007801563427660975
pfcand_btagSip3dVal,recojet_isC,0.029122217369095104,0.007906444704071914
pfcand_btagSip3dSig,recojet_isC,0.032474329836614135,0.010538389907194459
pfcand_btagJetDistVal,recojet_isC,0.0446701559827952,0.006475603252203112
pfcand_btagJetDistSig,recojet_isC,3.2573531044777225e-05,0.0018609782149492213
pfcand_isChargedHad,recojet_isC,0.07954308219634429,0.014637901015128532
pfcand_isNeutralHad,recojet_isC,0.022859215718209324,0.01388055988811349
pfcand_isGamma,recojet_isC,0.029718905233233884,0.009632171433002766
pfcand_isEl,recojet_isC,0.005029649316325968,0.004149521342487642
pfcand_isMu,recojet_isC,0.010134810000074013,0.001580413523068722
pfcand_thetarel,recojet_isC,0.05485678750953142,0.005550144309146462
pfcand_phirel,recojet_isC,0.024581171018440994,0.002594929835254252
pfcand_pt_log,recojet_isUDSG,0.036980638473783634,0.006076428355222016
pfcand_e_log,recojet_isUDSG,0.1045851483478741,0.008839355748554446
pfcand_ptrel_log,recojet_isUDSG,0.012793333086532476,0.004045530514467888
pfcand_erel_log,recojet_isUDSG,0.05975377502457733,0.008705710390998775
pfcand_drrel,recojet_isUDSG,0.017119751882884816,0.003380320764279182
pfcand_charge,recojet_isUDSG,0.00015877520967793045,0.0005057818530229309
pfcand_dxy,recojet_isUDSG,0.05414234650015837,0.006233106989966433
pfcand_dz,recojet_isUDSG,0.03399599359963146,0.004319356674603446
pfcand_btagSip2dVal,recojet_isUDSG,0.026841237130364393,0.005196141946467114
pfcand_btagSip2dSig,recojet_isUDSG,0.06414189403194426,0.004918904899195601
pfcand_btagSip3dVal,recojet_isUDSG,0.02233218570940849,0.003987545588021997
pfcand_btagSip3dSig,recojet_isUDSG,0.03677826178165535,0.006007892412198548
pfcand_btagJetDistVal,recojet_isUDSG,0.039079268317764315,0.0031105269033342266
pfcand_btagJetDistSig,recojet_isUDSG,0.002115905903064941,0.0011416880070531721
pfcand_isChargedHad,recojet_isUDSG,0.06970313971807121,0.007795318643484393
pfcand_isNeutralHad,recojet_isUDSG,0.01200686106346489,0.0038650304474058643
pfcand_isGamma,recojet_isUDSG,0.020320758830328623,0.002000573183230641
pfcand_isEl,recojet_isUDSG,0.009658139697504509,0.0018647814055418985
pfcand_isMu,recojet_isUDSG,0.009367737370995211,0.00066143137816176
pfcand_thetarel,recojet_isUDSG,0.027180999625685476,0.003110072565374994
pfcand_phirel,recojet_isUDSG,0.017899642550110915,0.0013626262783896464
